Canada,Average expenditure per household,Total expenditure,79012
Canada,Average expenditure per household,Total current consumption,58592
Canada,Average expenditure per household,Food expenditures,7980
Canada,Average expenditure per household,Food purchased from stores,5754
Canada,Average expenditure per household,Food purchased from restaurants,2226
Canada,Average expenditure per household,Shelter,16387
Canada,Average expenditure per household,Principal accommodation,14904
Canada,Average expenditure per household,Rented living quarters,3252
Canada,Average expenditure per household,Owned living quarters,9275
Canada,Average expenditure per household,"Water, fuel and electricity for principal accommodation",2377
Canada,Average expenditure per household,Other accommodation,1483
Canada,Average expenditure per household,Household operations,4328
Canada,Average expenditure per household,Communications,1998
Canada,Average expenditure per household,Household furnishings and equipment,1992
Canada,Average expenditure per household,Household furnishings,849
Canada,Average expenditure per household,Household equipment,1009
Canada,Average expenditure per household,Household appliances,465
Canada,Average expenditure per household,Clothing and accessories,3550
Canada,Average expenditure per household,Transportation,12041
Canada,Average expenditure per household,Private transportation,10825
Canada,Average expenditure per household,Public transportation,1216
Canada,Average expenditure per household,Health care,2407
Canada,Average expenditure per household,Direct health care costs to household,1662
Canada,Average expenditure per household,Health insurance premiums,745
Canada,Average expenditure per household,Personal care,1229
Canada,Average expenditure per household,Recreation,3922
Canada,Average expenditure per household,Recreation equipment and related services,981
Canada,Average expenditure per household,Home entertainment equipment and services,296
Canada,Average expenditure per household,Recreation services,1951
Canada,Average expenditure per household,Recreational vehicles and associated services,694
Canada,Average expenditure per household,Education,1518
Canada,Average expenditure per household,Reading materials and other printed matter,183
Canada,Average expenditure per household,Tobacco products and alcoholic beverages,1331
Canada,Average expenditure per household,Games of chance,160
Canada,Average expenditure per household,Miscellaneous expenditures,1563
Canada,Average expenditure per household,Income taxes,13891
Canada,Average expenditure per household,Personal insurance payments and pension contributions,4562
Canada,Average expenditure per household,"Gifts of money, support payments and charitable contributions",1968
Atlantic Region,Average expenditure per household,Total expenditure,68748
Atlantic Region,Average expenditure per household,Total current consumption,51642
Atlantic Region,Average expenditure per household,Food expenditures,7131
Atlantic Region,Average expenditure per household,Food purchased from stores,5388
Atlantic Region,Average expenditure per household,Food purchased from restaurants,1744
Atlantic Region,Average expenditure per household,Shelter,12605
Atlantic Region,Average expenditure per household,Principal accommodation,11453
Atlantic Region,Average expenditure per household,Rented living quarters,2180
Atlantic Region,Average expenditure per household,Owned living quarters,6314
Atlantic Region,Average expenditure per household,"Water, fuel and electricity for principal accommodation",2959
Atlantic Region,Average expenditure per household,Other accommodation,1152
Atlantic Region,Average expenditure per household,Household operations,4054
Atlantic Region,Average expenditure per household,Communications,2013
Atlantic Region,Average expenditure per household,Household furnishings and equipment,1903
Atlantic Region,Average expenditure per household,Household furnishings,747
Atlantic Region,Average expenditure per household,Household equipment,1033
Atlantic Region,Average expenditure per household,Household appliances,438
Atlantic Region,Average expenditure per household,Clothing and accessories,3157
Atlantic Region,Average expenditure per household,Transportation,12168
Atlantic Region,Average expenditure per household,Private transportation,11337
Atlantic Region,Average expenditure per household,Public transportation,831
Atlantic Region,Average expenditure per household,Health care,2267
Atlantic Region,Average expenditure per household,Direct health care costs to household,1402
Atlantic Region,Average expenditure per household,Health insurance premiums,865
Atlantic Region,Average expenditure per household,Personal care,1011
Atlantic Region,Average expenditure per household,Recreation,3635
Atlantic Region,Average expenditure per household,Recreation equipment and related services,888
Atlantic Region,Average expenditure per household,Home entertainment equipment and services,226
Atlantic Region,Average expenditure per household,Recreation services,1650
Atlantic Region,Average expenditure per household,Recreational vehicles and associated services,871
Atlantic Region,Average expenditure per household,Education,924
Atlantic Region,Average expenditure per household,Reading materials and other printed matter,135
Atlantic Region,Average expenditure per household,Tobacco products and alcoholic beverages,1222
Atlantic Region,Average expenditure per household,Games of chance,206
Atlantic Region,Average expenditure per household,Miscellaneous expenditures,1224
Atlantic Region,Average expenditure per household,Income taxes,11265
Atlantic Region,Average expenditure per household,Personal insurance payments and pension contributions,4273
Atlantic Region,Average expenditure per household,"Gifts of money, support payments and charitable contributions",1567
Newfoundland and Labrador,Average expenditure per household,Total expenditure,74701
Newfoundland and Labrador,Average expenditure per household,Total current consumption,55216
Newfoundland and Labrador,Average expenditure per household,Food expenditures,7677
Newfoundland and Labrador,Average expenditure per household,Food purchased from stores,5817
Newfoundland and Labrador,Average expenditure per household,Food purchased from restaurants,1859
Newfoundland and Labrador,Average expenditure per household,Shelter,12513
Newfoundland and Labrador,Average expenditure per household,Principal accommodation,11235
Newfoundland and Labrador,Average expenditure per household,Rented living quarters,1866
Newfoundland and Labrador,Average expenditure per household,Owned living quarters,6406
Newfoundland and Labrador,Average expenditure per household,"Water, fuel and electricity for principal accommodation",2963
Newfoundland and Labrador,Average expenditure per household,Other accommodation,1278
Newfoundland and Labrador,Average expenditure per household,Household operations,4216
Newfoundland and Labrador,Average expenditure per household,Communications,2127
Newfoundland and Labrador,Average expenditure per household,Household furnishings and equipment,2219
Newfoundland and Labrador,Average expenditure per household,Household furnishings,1021
Newfoundland and Labrador,Average expenditure per household,Household equipment,1117
Newfoundland and Labrador,Average expenditure per household,Household appliances,487
Newfoundland and Labrador,Average expenditure per household,Clothing and accessories,3609
Newfoundland and Labrador,Average expenditure per household,Transportation,13767
Newfoundland and Labrador,Average expenditure per household,Private transportation,12672
Newfoundland and Labrador,Average expenditure per household,Public transportation,1094
Newfoundland and Labrador,Average expenditure per household,Health care,2125
Newfoundland and Labrador,Average expenditure per household,Direct health care costs to household,1275
Newfoundland and Labrador,Average expenditure per household,Health insurance premiums,850
Newfoundland and Labrador,Average expenditure per household,Personal care,962
Newfoundland and Labrador,Average expenditure per household,Recreation,4553
Newfoundland and Labrador,Average expenditure per household,Recreation equipment and related services,1301
Newfoundland and Labrador,Average expenditure per household,Home entertainment equipment and services,292
Newfoundland and Labrador,Average expenditure per household,Recreation services,1762
Newfoundland and Labrador,Average expenditure per household,Recreational vehicles and associated services,1198
Newfoundland and Labrador,Average expenditure per household,Education,880
Newfoundland and Labrador,Average expenditure per household,Reading materials and other printed matter,113
